# RaceRender Data: [TrackAddict 4.4a; Android 9; samsung SM-N960U / Qualcomm Technologies, Inc SDM845] (Mode: 1),,,,,,,,,,,,,,,,,,
# Exported by TrackAddict 4.4a on Android 9,,,,,,,,,,,,,,,,,,,
# http://HPTuners.com,,,,,,,,,,,,,,,,,,,
# Fixed Rate Interpolated Export (20.000 Hz),,,,,,,,,,,,,,,,,,,
# Lap 0: 00:09:11.807,,,,,,,,,,,,,,,,,,,
# Lap 1: 00:00:45.948,,,,,,,,,,,,,,,,,,,
# Lap 2: 00:01:25.705,,,,,,,,,,,,,,,,,,,
Time,UTC Time,Lap,Latitude,Longitude,Altitude (m),Altitude (ft),Speed (MPH),Heading,Accuracy (m),Accel X,Accel Y,Accel Z,Brake (calculated),Barometric Pressure (PSI),Pressure Altitude (ft),,,,
0,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.15,1043,,,,
0.05,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.149,1044,,,,
0.1,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1044,,,,
0.15,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1044,,,,
0.2,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.25,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.3,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.35,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.4,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.45,1571593456,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.5,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.55,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.6,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.65,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.7,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.75,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.8,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.85,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.9,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
0.95,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.05,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.1,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.15,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.2,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.25,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.3,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.35,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.4,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.45,1571593457,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.5,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.55,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0.01,0,0,1,14.148,1045,,,,
1.6,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.65,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
1.7,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
