# RaceRender Data: [TrackAddict 4.3.7; Android 9; samsung SM-N960U / Qualcomm Technologies, Inc SDM845] (Mode: 1),,,,,,,,,,,,,,,
# Exported by TrackAddict 4.3.7 on Android 9,,,,,,,,,,,,,,,,
# http://HPTuners.com,,,,,,,,,,,,,,,,
# Fixed Rate Interpolated Export (20.000 Hz),,,,,,,,,,,,,,,,
# Lap 0: 00:04:05.978,,,,,,,,,,,,,,,,
# Lap 1: 00:00:40.710,,,,,,,,,,,,,,,,
# Lap 2: 00:01:17.535,,,,,,,,,,,,,,,,
Time,UTC Time,Lap,Latitude,Longitude,Altitude (m),Altitude (ft),Speed (MPH),Heading,Accuracy (m),Accel X,Accel Y,Accel Z,Brake (calculated),Barometric Pressure (PSI),Pressure Altitude (ft),
0,1566744256,0,36.5778207,-79.3314989,133.7,439,0,0,3.2,0.02,-0.09,-0.01,1,14.549,278,
0.05,1566744256,0,36.5778207,-79.3314989,133.7,439,0,0,3.2,0.02,-0.09,-0.01,1,14.549,278,
0.1,1566744256,0,36.5778205,-79.3314988,133.7,439,0,0,3.2,0.06,-0.02,0.03,1,14.549,278,
0.15,1566744256,0,36.5778203,-79.3314988,133.7,439,0,0,3.2,0.06,0,0.03,1,14.549,278,
0.2,1566744256,0,36.57782,-79.3314987,133.7,439,0,0,3.2,0.05,0,0.01,1,14.549,278,
0.25,1566744256,0,36.5778198,-79.3314986,133.7,439,0,0,3.2,0.02,0.02,0,1,14.549,278,
0.3,1566744256,0,36.5778196,-79.3314985,133.7,439,0,0,3.2,0.02,0.02,0,1,14.549,278,
0.35,1566744256,0,36.5778194,-79.3314984,133.7,439,0,0,3.2,0.02,0.02,0.01,1,14.549,278,
0.4,1566744256,0,36.5778192,-79.3314984,133.7,439,0,0,3.2,0.01,0.01,0.01,1,14.549,278,
0.45,1566744256,0,36.577819,-79.3314983,133.7,439,0,0,3.2,0.01,-0.01,0.01,1,14.549,278,
0.5,1566744257,0,36.5778187,-79.3314982,133.7,438,0,0,3.2,0.02,0,0.02,1,14.548,278,
